Date,Rate,"ISO Code From","ISO Code To"
"4/26/2021 Monday",194.56791,USD,LKR
"4/27/2021 Tuesday",195.09674,USD,LKR
"4/28/2021 Wednesday",194.96012,USD,LKR
"4/29/2021 Thursday",196.88477,USD,LKR
"4/30/2021 Friday",197.38573,USD,LKR
"5/3/2021 Monday",197.01163,USD,LKR
"5/4/2021 Tuesday",196.85821,USD,LKR
"5/5/2021 Wednesday",196.71855,USD,LKR
"5/6/2021 Thursday",197.17585,USD,LKR
"5/7/2021 Friday",196.96704,USD,LKR
"5/10/2021 Monday",197.01029,USD,LKR
"5/11/2021 Tuesday",196.83150,USD,LKR
"5/12/2021 Wednesday",196.45893,USD,LKR
"5/13/2021 Thursday",196.96164,USD,LKR
"5/14/2021 Friday",196.95755,USD,LKR
"5/17/2021 Monday",197.12687,USD,LKR
"5/18/2021 Tuesday",196.97311,USD,LKR
"5/19/2021 Wednesday",197.08513,USD,LKR
"5/20/2021 Thursday",196.85852,USD,LKR
"5/21/2021 Friday",197.20015,USD,LKR
"5/24/2021 Monday",197.04823,USD,LKR
"5/25/2021 Tuesday",199.43787,USD,LKR
"5/26/2021 Wednesday",198.61454,USD,LKR
"5/27/2021 Thursday",198.41571,USD,LKR
"5/28/2021 Friday",198.37613,USD,LKR
"5/31/2021 Monday",197.75889,USD,LKR
"6/1/2021 Tuesday",197.41573,USD,LKR
"6/2/2021 Wednesday",198.00963,USD,LKR
"6/3/2021 Thursday",197.87346,USD,LKR
"6/4/2021 Friday",197.84914,USD,LKR
"6/7/2021 Monday",197.51527,USD,LKR
"6/8/2021 Tuesday",197.94684,USD,LKR
"6/9/2021 Wednesday",198.52796,USD,LKR
"6/10/2021 Thursday",199.41288,USD,LKR
"6/11/2021 Friday",198.37272,USD,LKR
"6/14/2021 Monday",198.06453,USD,LKR
"6/15/2021 Tuesday",198.15114,USD,LKR
"6/16/2021 Wednesday",198.48534,USD,LKR
"6/17/2021 Thursday",198.06546,USD,LKR
"6/18/2021 Friday",198.52765,USD,LKR
"6/21/2021 Monday",199.05684,USD,LKR
"6/22/2021 Tuesday",198.74381,USD,LKR
"6/23/2021 Wednesday",199.18607,USD,LKR
"6/24/2021 Thursday",199.31395,USD,LKR
"6/25/2021 Friday",198.99156,USD,LKR
"6/28/2021 Monday",199.11086,USD,LKR
"6/29/2021 Tuesday",199.53622,USD,LKR
"6/30/2021 Wednesday",199.57400,USD,LKR
"7/1/2021 Thursday",199.66247,USD,LKR
"7/2/2021 Friday",199.52728,USD,LKR
"7/5/2021 Monday",198.98117,USD,LKR
"7/6/2021 Tuesday",199.54778,USD,LKR
"7/7/2021 Wednesday",198.98628,USD,LKR
"7/8/2021 Thursday",198.87157,USD,LKR
"7/9/2021 Friday",199.14779,USD,LKR
"7/12/2021 Monday",199.08507,USD,LKR
"7/13/2021 Tuesday",199.46509,USD,LKR
"7/14/2021 Wednesday",199.13601,USD,LKR
"7/15/2021 Thursday",198.93815,USD,LKR
"7/16/2021 Friday",198.82030,USD,LKR
"7/19/2021 Monday",198.53728,USD,LKR
"7/20/2021 Tuesday",199.49327,USD,LKR
"7/21/2021 Wednesday",199.54456,USD,LKR
"7/22/2021 Thursday",199.65649,USD,LKR
"7/23/2021 Friday",199.44698,USD,LKR
"7/26/2021 Monday",199.53803,USD,LKR
"7/27/2021 Tuesday",199.04965,USD,LKR
"7/28/2021 Wednesday",199.01320,USD,LKR
"7/29/2021 Thursday",199.73957,USD,LKR
"7/30/2021 Friday",199.78620,USD,LKR
"8/2/2021 Monday",199.53643,USD,LKR
"8/3/2021 Tuesday",199.48731,USD,LKR
"8/4/2021 Wednesday",199.53012,USD,LKR
"8/5/2021 Thursday",199.54239,USD,LKR
"8/6/2021 Friday",199.07846,USD,LKR
"8/9/2021 Monday",199.47838,USD,LKR
"8/10/2021 Tuesday",199.53992,USD,LKR
"8/11/2021 Wednesday",199.46595,USD,LKR
"8/12/2021 Thursday",199.44876,USD,LKR
"8/13/2021 Friday",199.70988,USD,LKR
"8/16/2021 Monday",199.47249,USD,LKR
"8/17/2021 Tuesday",199.48532,USD,LKR
"8/18/2021 Wednesday",199.50851,USD,LKR
"8/19/2021 Thursday",199.50429,USD,LKR
"8/20/2021 Friday",199.57926,USD,LKR
"8/23/2021 Monday",199.85878,USD,LKR
"8/24/2021 Tuesday",199.45117,USD,LKR
"8/25/2021 Wednesday",199.48567,USD,LKR
"8/26/2021 Thursday",199.36624,USD,LKR
"8/27/2021 Friday",199.52713,USD,LKR
"8/30/2021 Monday",199.67890,USD,LKR
"8/31/2021 Tuesday",199.31215,USD,LKR
"9/1/2021 Wednesday",200.00224,USD,LKR
"9/2/2021 Thursday",199.60365,USD,LKR
"9/3/2021 Friday",199.73630,USD,LKR
"9/6/2021 Monday",200.27908,USD,LKR
"9/7/2021 Tuesday",201.53802,USD,LKR
"9/8/2021 Wednesday",199.69869,USD,LKR
"9/9/2021 Thursday",199.78144,USD,LKR
"9/10/2021 Friday",199.74623,USD,LKR
"9/13/2021 Monday",199.53249,USD,LKR
"9/14/2021 Tuesday",199.44074,USD,LKR
"9/15/2021 Wednesday",199.43118,USD,LKR
"9/16/2021 Thursday",199.32615,USD,LKR
"9/17/2021 Friday",199.95891,USD,LKR
"9/20/2021 Monday",199.50923,USD,LKR
"9/21/2021 Tuesday",199.96368,USD,LKR
"9/22/2021 Wednesday",199.76860,USD,LKR
"9/23/2021 Thursday",199.56649,USD,LKR
"9/24/2021 Friday",200.28215,USD,LKR
"9/27/2021 Monday",200.03930,USD,LKR
"9/28/2021 Tuesday",199.76859,USD,LKR
"9/29/2021 Wednesday",199.82238,USD,LKR
"9/30/2021 Thursday",199.71885,USD,LKR
"10/1/2021 Friday",199.58429,USD,LKR
"10/4/2021 Monday",200.01695,USD,LKR
"10/5/2021 Tuesday",199.67988,USD,LKR
"10/6/2021 Wednesday",199.57779,USD,LKR
"10/7/2021 Thursday",199.99692,USD,LKR
"10/8/2021 Friday",199.95483,USD,LKR
"10/11/2021 Monday",200.07121,USD,LKR
"10/12/2021 Tuesday",200.79346,USD,LKR
"10/13/2021 Wednesday",201.06927,USD,LKR
"10/14/2021 Thursday",200.95852,USD,LKR
"10/15/2021 Friday",202.75534,USD,LKR
"10/18/2021 Monday",200.46520,USD,LKR
"10/19/2021 Tuesday",200.98237,USD,LKR
"10/20/2021 Wednesday",200.46295,USD,LKR
"10/21/2021 Thursday",200.39341,USD,LKR
